date,home_team,away_team,home_goals,away_goals,home_win
2022-01-02,TOR,OTT,6,0,1
2022-01-02,MIN,STL,4,6,0
2022-01-02,COL,ANA,4,2,1
2022-01-02,NYR,TBL,4,0,1
2022-01-02,LAK,PHI,6,3,1
2022-01-02,DET,BOS,1,5,0
2022-01-03,CHI,CGY,1,5,0
2022-01-04,NYR,EDM,4,1,1
2022-01-05,VGK,NSH,2,3,0
2022-01-05,FLA,CGY,6,2,1
2022-01-05,DET,SJS,6,2,1
2022-01-05,CHI,COL,3,4,0
2022-01-05,BOS,NJD,5,3,1
2022-01-05,ARI,WPG,1,3,0
2022-01-05,ANA,PHI,4,1,1
2022-01-05,CBJ,TBL,2,7,0
2022-01-06,PIT,STL,5,3,1
2022-01-06,TOR,EDM,4,2,1
2022-01-07,NJD,CBJ,3,1,1
2022-01-07,TBL,CGY,4,1,1
2022-01-07,PHI,PIT,2,6,0
2022-01-07,LAK,NSH,2,4,0
2022-01-07,VGK,NYR,5,1,1
2022-01-07,COL,WPG,7,1,1
2022-01-07,BUF,SJS,2,3,0
2022-01-07,BOS,MIN,2,3,0
2022-01-07,ARI,CHI,6,4,1
2022-01-07,DAL,FLA,6,5,1
2022-01-08,STL,WSH,5,1,1
2022-01-08,CAR,CGY,6,3,1
2022-01-08,DAL,PIT,3,2,1
2022-01-09,VGK,CHI,1,2,0
2022-01-09,TBL,BOS,2,5,0
2022-01-09,STL,DAL,2,1,1
2022-01-09,MIN,WSH,3,2,1
2022-01-09,LAK,DET,4,0,1
2022-01-09,PHI,SJS,2,3,0
2022-01-09,CBJ,NJD,4,3,1
2022-01-09,COL,TOR,5,4,1
2022-01-09,CAR,FLA,3,4,0
2022-01-09,ARI,NSH,2,4,0
2022-01-09,ANA,NYR,1,4,0
2022-01-10,ANA,DET,4,3,1
2022-01-11,LAK,NYR,3,1,1
2022-01-11,WSH,BOS,3,7,0
2022-01-11,COL,SEA,4,3,1
2022-01-12,VGK,TOR,3,4,0
2022-01-12,ANA,PIT,1,4,0
2022-01-12,BUF,TBL,1,6,0
2022-01-12,CBJ,CHI,2,4,0
2022-01-12,FLA,VAN,5,2,1
2022-01-12,NSH,COL,5,4,1
2022-01-12,SJS,DET,3,2,1
2022-01-13,DAL,SEA,5,2,1
2022-01-13,ARI,TOR,2,1,1
2022-01-13,BOS,MTL,5,1,1
2022-01-14,STL,SEA,2,1,1
2022-01-14,SJS,NYR,0,3,0
2022-01-14,NYI,NJD,3,2,1
2022-01-14,NSH,BUF,1,4,0
2022-01-14,LAK,PIT,6,2,1
2022-01-14,TBL,VAN,4,2,1
2022-01-14,CHI,MTL,3,2,1
2022-01-14,CGY,OTT,1,4,0
2022-01-14,CAR,CBJ,0,6,0
2022-01-14,BOS,PHI,3,2,1
2022-01-14,DET,WPG,0,3,0
2022-01-15,BOS,NSH,4,3,1
2022-01-15,CAR,VAN,4,1,1
2022-01-15,COL,ARI,4,3,1
2022-01-15,FLA,CBJ,9,2,1
2022-01-15,FLA,DAL,7,1,1
2022-01-15,MIN,ANA,7,3,1
2022-01-15,NYI,WSH,0,2,0
2022-01-16,STL,TOR,5,6,0
2022-01-16,WSH,VAN,2,4,0
2022-01-16,TBL,DAL,3,1,1
2022-01-16,SJS,PIT,1,2,0
2022-01-16,SEA,LAK,1,3,0
2022-01-16,EDM,OTT,4,6,0
2022-01-16,DET,BUF,4,0,1
2022-01-16,CHI,ANA,3,0,1
2022-01-16,ARI,COL,0,5,0
2022-01-16,PHI,NYR,2,3,0
2022-01-17,ARI,MTL,5,2,1
2022-01-17,BUF,DET,2,3,0
2022-01-17,COL,MIN,4,3,1
2022-01-17,SEA,CHI,3,2,1
2022-01-17,SJS,LAK,6,2,1
2022-01-18,VGK,PIT,3,5,0
2022-01-18,NYI,PHI,4,1,1
2022-01-18,STL,NSH,5,3,1
2022-01-19,WSH,WPG,4,3,1
2022-01-19,BOS,CAR,1,7,0
2022-01-19,CGY,FLA,5,1,1
2022-01-19,DAL,MTL,3,5,0
2022-01-19,LAK,TBL,4,6,0
2022-01-19,NSH,VAN,1,3,0
2022-01-19,OTT,BUF,1,3,0
2022-01-19,PHI,NYI,3,4,0
2022-01-20,NJD,ARI,1,4,0
2022-01-20,NYR,TOR,6,3,1
2022-01-20,ANA,COL,0,2,0
2022-01-21,PIT,OTT,6,4,1
2022-01-21,VGK,MTL,4,3,1
2022-01-21,SEA,SJS,3,2,1
2022-01-21,PHI,CBJ,1,2,0
2022-01-21,EDM,FLA,0,6,0
2022-01-21,LAK,COL,1,4,0
2022-01-21,BOS,WSH,4,3,1
2022-01-21,NSH,WPG,5,2,1
2022-01-21,BUF,DAL,4,5,0
2022-01-22,ANA,TBL,5,1,1
2022-01-22,BOS,WPG,3,2,1
2022-01-22,BUF,PHI,6,3,1
2022-01-22,CAR,NYR,6,3,1
2022-01-22,CBJ,PIT,2,5,0
2022-01-22,CHI,MIN,1,5,0
2022-01-22,DET,DAL,4,5,0
2022-01-22,NYI,ARI,4,0,1
2022-01-22,SEA,STL,0,5,0
2022-01-22,VAN,FLA,1,2,0
2022-01-23,SJS,TBL,1,7,0
2022-01-23,PIT,WPG,3,2,1
2022-01-23,NYR,ARI,7,3,1
2022-01-23,NYI,TOR,1,3,0
2022-01-23,NSH,DET,4,1,1
2022-01-23,CBJ,OTT,1,2,0
2022-01-23,MIN,CHI,4,3,1
2022-01-23,EDM,CGY,5,3,1
2022-01-23,COL,MTL,3,2,1
2022-01-23,WSH,OTT,3,2,1
2022-01-23,NJD,CAR,7,4,1
2022-01-24,SEA,FLA,5,3,1
2022-01-24,VAN,STL,1,3,0
2022-01-24,NJD,LAK,2,3,0
2022-01-25,BOS,ANA,3,5,0
2022-01-25,CGY,STL,7,1,1
2022-01-25,COL,CHI,2,0,1
2022-01-25,MIN,MTL,8,2,1
2022-01-25,NYR,LAK,3,2,1
2022-01-25,PHI,DAL,1,3,0
2022-01-25,WSH,VGK,0,1,0
2022-01-26,PIT,ARI,6,3,1
2022-01-26,WPG,FLA,3,5,0
2022-01-26,VAN,EDM,2,3,0
2022-01-26,SEA,NSH,2,4,0
2022-01-26,NYI,PHI,4,3,1
2022-01-26,NJD,DAL,1,5,0
2022-01-26,CAR,VGK,4,3,1
2022-01-26,OTT,BUF,5,0,1
2022-01-27,WSH,SJS,1,4,0
2022-01-27,CBJ,CGY,0,6,0
2022-01-27,COL,BOS,4,3,1
2022-01-27,DET,CHI,5,8,0
2022-01-27,TOR,ANA,4,3,1
2022-01-28,STL,CGY,5,1,1
2022-01-28,PIT,SEA,1,2,0
2022-01-28,WPG,VAN,1,5,0
2022-01-28,TBL,NJD,3,2,1
2022-01-28,NYI,LAK,2,3,0
