date,home_team,away_team,home_goals,away_goals,home_win,game_key,season,home_elo_pre,away_elo_pre,elo_diff,home_elo,away_elo,home_elo_post,away_elo_post,home_rolling_win_pct,home_rolling_goal_diff,rest_days_x,home_rest_days,away_rolling_win_pct,away_rolling_goal_diff,away_rest_days,home_home_rolling_win_pct,home_home_rolling_goal_diff,away_away_rolling_win_pct,away_away_rolling_goal_diff,rest_diff
2023-04-28,VGK,WPG,4,1,1,2023-04-28|VGK|WPG|4|1,2022,1585.383227813031,1508.9653996161546,116.41782819687637,1585.383227813031,1508.9653996161546,1590.4601602030418,1503.8884672261438,0.7,0.9,3.0,3.0,0.5,0.7,3.0,0.7,0.7,0.4,-0.8,0.0
2023-04-29,MIN,DAL,1,4,0,2023-04-29|MIN|DAL|1|4,2022,1535.4515117880724,1560.1069186643863,15.344593123686082,1535.4515117880724,1560.1069186643863,1527.6204873199633,1567.9379431324953,0.4,-0.6,3.0,3.0,0.8,1.7,3.0,0.5,0.6,0.6,0.3,0.0
2023-04-29,SEA,COL,1,4,0,2023-04-29|SEA|COL|1|4,2022,1537.763398904605,1592.0576034182109,-14.294204513605791,1537.763398904605,1592.0576034182109,1530.571790131475,1599.249212191341,0.6,0.5,2.0,2.0,0.6,0.3,2.0,0.5,0.6,0.9,1.8,0.0
2023-04-29,TBL,TOR,1,2,0,2023-04-29|TBL|TOR|1|2,2022,1526.6719621430627,1587.0270918716592,-20.355129728596467,1526.6719621430627,1587.0270918716592,1519.6108608941518,1594.0881931205702,0.3,-0.8,2.0,2.0,0.7,0.9,2.0,0.5,1.1,0.8,1.0,0.0
2023-04-30,BOS,FLA,3,4,0,2023-04-30|BOS|FLA|3|4,2022,1673.8882092840927,1552.3940905612494,161.49411872284327,1673.8882092840927,1552.3940905612494,1663.1331912260905,1563.1491086192516,0.7,0.9,2.0,2.0,0.5,0.2,2.0,0.7,0.6,0.7,1.2,0.0
2023-04-30,LAK,EDM,4,5,0,2023-04-30|LAK|EDM|4|5,2022,1552.8981171396465,1607.428964316934,-14.53084717728757,1552.8981171396465,1607.428964316934,1545.7116079284638,1614.6154735281168,0.4,-0.5,4.0,4.0,0.8,1.7,4.0,0.6,1.2,0.8,1.3,0.0
2023-04-30,NYR,NJD,5,2,1,2023-04-30|NYR|NJD|5|2,2022,1552.377438063481,1568.6863413138817,23.691096749599183,1552.377438063481,1568.6863413138817,1559.3668157926622,1561.6969635847004,0.4,0.5,3.0,3.0,0.7,1.4,3.0,0.5,1.6,0.5,-0.3,0.0
2023-05-01,COL,SEA,1,2,0,2023-05-01|COL|SEA|1|2,2022,1599.249212191341,1530.571790131475,108.6774220598661,1599.249212191341,1530.571790131475,1589.4768539940478,1540.3441483287681,0.6,0.5,2.0,2.0,0.5,0.0,2.0,0.5,0.4,0.6,0.6,0.0
2023-05-02,NJD,NYR,4,0,1,2023-05-02|NJD|NYR|4|0,2022,1561.6969635847004,1559.3668157926622,42.33014779203813,1561.6969635847004,1559.3668157926622,1568.287688538548,1552.7760908388145,0.6,0.7,2.0,2.0,0.4,0.5,2.0,0.6,1.2,0.6,1.0,0.0
2023-05-02,TOR,FLA,2,4,0,2023-05-02|TOR|FLA|2|4,2022,1594.0881931205702,1563.1491086192516,70.93908450131858,1594.0881931205702,1563.1491086192516,1585.0777810229831,1572.1595207168386,0.8,1.1,3.0,3.0,0.5,-0.2,2.0,0.4,0.4,0.7,1.0,1.0
2023-05-03,CAR,NJD,5,1,1,2023-05-03|CAR|NJD|5|1,2022,1586.1087964644505,1568.287688538548,57.821107925902425,1586.1087964644505,1568.287688538548,1592.3720245555612,1562.0244604474374,0.6,0.4,5.0,5.0,0.6,0.4,1.0,0.6,0.2,0.5,-0.4,4.0
2023-05-03,DAL,SEA,4,5,0,2023-05-03|DAL|SEA|4|5,2022,1567.9379431324953,1540.3441483287681,67.59379480372718,1567.9379431324953,1540.3441483287681,1558.9969485825522,1549.2851428787112,0.8,1.7,4.0,4.0,0.5,-0.3,2.0,0.7,1.4,0.6,0.6,2.0
